Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",5.928543,-4.115118,180.000000,top
"C2","10u","C_0805_2012Metric",5.782598,-4.115118,0.000000,top
"C3","10u","C_0805_2012Metric",5.335433,-2.791339,90.000000,top
"C4","10u","C_0805_2012Metric",5.253937,-2.792913,90.000000,top
"C5","10u","C_0805_2012Metric",5.115748,-3.156693,0.000000,top
"C6","4.7u","C_0805_2012Metric",5.503937,-2.708661,90.000000,top
"C7","47n","C_0603_1608Metric",5.617520,-2.683858,180.000000,top
"C8","100n","C_0603_1608Metric",5.398819,-2.687008,0.000000,top
"C9","1u","C_0603_1608Metric",5.398819,-2.624016,0.000000,top
"C10","10u","C_0805_2012Metric",5.456693,-2.555118,0.000000,top
"C11","10u","C_0805_2012Metric",5.635236,-2.855118,90.000000,top
"C12","10u","C_0805_2012Metric",5.566929,-3.137795,0.000000,top
"C13","47u","C_0805_2012Metric",5.993701,-3.128740,0.000000,top
"C14","10u","C_0805_2012Metric",5.716535,-3.007874,0.000000,top
"C15","10u","C_0805_2012Metric",5.566929,-3.059055,0.000000,top
"C16","1u","C_0603_1608Metric",4.996063,-3.084646,180.000000,top
"C17","100n","C_0603_1608Metric",4.905512,-3.049213,270.000000,top
"C18","1u","C_0603_1608Metric",5.944882,-4.275591,90.000000,top
"C19","100n","C_0603_1608Metric",5.311024,-4.000000,90.000000,top
"C20","100n","C_0603_1608Metric",5.318898,-4.196850,270.000000,top
"C21","100n","C_0603_1608Metric",5.553228,-3.657677,270.000000,top
"D1","D_Schottky","D_SOD-123",5.625984,-2.574803,0.000000,top
"D2","MBR130T3G","D_SOD-123",5.736220,-3.125984,180.000000,top
"D5","SP0503BAHT","SOT-143",5.267717,-2.987126,270.000000,top
"IC1","MAX11646EUA+T","SOP65P490X110-8N",5.377953,-3.692913,0.000000,top
"J2","CON_HEADER_PRG_AVR_ICSP-PTH","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",6.467500,-4.077500,90.000000,top
"J3","Conn_01x02","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",5.007500,-2.595000,180.000000,top
"J5","M04PTH","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",6.467500,-3.680000,90.000000,top
"L1","2.2u","L_Coilcraft_XAL5030",5.794488,-2.818110,270.000000,top
"R1","4.7K","R_0603_1608Metric",6.283465,-3.759843,270.000000,top
"R2","4.7K","R_0603_1608Metric",6.216535,-3.759843,270.000000,top
"R3","49.9R","R_0603_1608Metric",5.153543,-3.996063,90.000000,top
"R4","49.9R","R_0603_1608Metric",5.236220,-3.996063,90.000000,top
"R5","49.9R","R_0603_1608Metric",5.236220,-4.196850,270.000000,top
"R6","49.9R","R_0603_1608Metric",5.153543,-4.196850,270.000000,top
"R7","0R","R_0603_1608Metric",5.974803,-2.830315,0.000000,top
"R8","0R","R_0603_1608Metric",5.976378,-2.898819,0.000000,top
"U2","AP1117-33","SOT-223-3_TabPin2",5.838189,-3.888110,90.000000,top
"U3","CP2102N-A01-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",5.051181,-2.942913,0.000000,top
"U4","BQ25895RTW","Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias",5.484646,-2.891535,0.000000,top
"U5","STF202-22T1G","SOT95P275X110-6N",5.961811,-3.009055,180.000000,top
"USB1","USB_B_Micro","USB_Micro-AB_Molex_47590-0001",4.657500,-2.850000,270.000000,top
